ID,step,angle,time,nest_x,nest_y,nu.x,nu.y,se.mu.x,se.nu.x,se.mu.y,se.nu.y,speed,tod,dist2nest,x,y,hour
44067,0.126754888302157,-0.620871027799026,22-06-23 21:54:19.999992,505925.125596706,5330513.00106142,214.215252431073,75.829217441555,0,4457.71320297751,0,4457.71320297751,227.240499453568,21.9,85.799988981913,506010.85092633,5330509.4225184,21
44067,63.3816270286205,-0.135454160653601,22-06-23 21:54:21.999992,505925.125596706,5330513.00106142,216.144806311045,75.8704369143484,2.44948974278318,4457.44512024545,2.44948974278318,4457.44512024545,229.074006584801,21.9,85.9176857925001,506010.970471787,5330509.46465728,21
44067,0.0458429461949237,-3.08414284893921,22-06-23 22:09:21,505925.125596706,5330513.00106142,-158.150403021091,-42.2998093358739,0,4449.4117588733,0,4449.4117588733,163.709571637045,22.15,148.209547239874,506073.045009152,5330522.27022075,22
44067,130.87434873688,-0.00143141266056812,22-06-23 22:09:21.999992,505925.125596706,5330513.00106142,-160.749435508371,-42.8382756039711,1.4142135623731,4449.37445041435,1.4142135623731,4449.37445041435,166.359546984781,22.15,148.164603025637,506073.000717486,5330522.25839603,22
44067,0.176107499190898,0.249380500900793,22-06-23 22:24:19.999992,505925.125596706,5330513.00106142,-278.901882404041,-154.474069617727,0,4448.7448791766,0,4448.7448791766,318.823616115211,22.4,32.3819049803743,505946.506836263,5330488.68172004,22
44067,30.0500378496061,1.57846696046101,22-06-23 22:24:21.999992,505925.125596706,5330513.00106142,-274.771081135772,-154.380629860498,2.44948974278318,4448.66519306634,2.44948974278318,4448.66519306634,315.170629825568,22.4,32.3452457320579,505946.353039645,5330488.59592697,22
44067,0.0481317572321673,1.50305496886542,22-06-23 22:39:19.999992,505925.125596706,5330513.00106142,78.5610250206314,36.7968706208693,0,4449.73909347503,0,4449.73909347503,86.7516244215707,22.65,62.0859620104737,505961.193177077,5330462.46596149,22
44067,31.4205218642933,1.23838155102914,22-06-23 22:39:21.999992,505925.125596706,5330513.00106142,77.5572976646766,38.3767128599098,2.44948974278318,4449.66021174651,2.44948974278318,4449.66021174651,86.5326904180103,22.65,62.0941754785765,505961.236542946,5330462.48684372,22
44067,0.0156406853679531,1.57798296854309,22-06-23 22:54:21,505925.125596706,5330513.00106142,-55.8345628064016,-6.44748022978211,0,4450.24864473885,0,4450.24864473885,56.2055905146048,22.9,37.770284376856,505957.588918939,5330493.69492013,22
44067,32.7309049316623,0.938139739463458,22-06-23 22:54:21.999992,505925.125596706,5330513.00106142,-55.9206563502376,-7.42864814748435,1.4142135623731,4450.22572461218,1.4142135623731,4450.22572461218,56.411919130096,22.9,37.757930125813,505957.573397456,5330493.6929928,22
44067,44.5237436096527,-2.44994617951931,22-06-23 23:09:21.999992,505925.125596706,5330513.00106142,-44.1539528744421,52.7682457354448,0,4449.72920524384,0,4449.72920524384,68.8045006699034,23.15,50.6489811641082,505941.620141425,5330465.11317895,23
44067,78.0734656821599,2.70673125297077,22-06-23 23:24:21.999992,505925.125596706,5330513.00106142,-66.5550437131696,-82.1151049331228,0,4448.32035716853,0,4448.32035716853,105.69987843815,23.4,9.3602684952305,505933.538302292,5330508.89728133,23
44067,0.0328577000753023,0.423761931304114,22-06-23 23:39:19.999992,505925.125596706,5330513.00106142,9.52075507007104,-60.2035294501517,0,4452.69637410861,0,4452.69637410861,60.9517000202584,23.65,80.4712349264509,505914.046261498,5330433.29618088,23
44067,61.5006678692252,2.56727795678377,22-06-23 23:39:21.999992,505925.125596706,5330513.00106142,10.656472427441,-56.3556801522803,2.44948974278318,4452.73646199727,2.44948974278318,4452.73646199727,57.3543641759101,23.65,80.5025315536409,505914.051866741,5330433.26380481,23
44067,0.318329578652153,-0.107203894921557,22-06-23 23:54:21.999992,505925.125596706,5330513.00106142,80.8429809566036,146.496400824478,8.60232526704263,4450.77375295577,8.60232526704263,4450.77375295577,167.322392477743,23.9,26.5788649154043,505938.16466628,5330489.8403463,23
44067,7.06821408828927,-1.66414664493679,22-06-23 23:54:29,505925.125596706,5330513.00106142,79.013762956611,139.208771546461,0,4451.29374451968,0,4451.29374451968,160.069537426827,23.9,26.4144318992488,505938.320092175,5330490.11815291,23
44067,0.0195808422375206,2.81168452066332,22-06-24 00:09:21.999992,505925.125596706,5330513.00106142,-20.8022933308827,27.7546211239685,2.44948974278318,4451.42224463148,2.44948974278318,4451.42224463148,34.6850746223664,0.15,32.936787141987,505944.139981427,5330486.10710074,0
44067,27.7076095213882,-0.290941473780414,22-06-24 00:09:24,505925.125596706,5330513.00106142,-21.1506678758967,28.8947957093482,0,4451.68922994407,0,4451.68922994407,35.808657761517,0.15,32.9172110546936,505944.128327938,5330486.12283623,0
44067,0.160632149983336,-0.389503251461156,22-06-24 00:24:21.999992,505925.125596706,5330513.00106142,0.424881713078863,51.0483476154493,14.6628782986152,4447.29378386452,14.6628782986152,4447.29378386452,51.050115756361,0.4,9.62757163140597,505934.718403416,5330512.1836295,0
44067,11.9096955678844,-2.20133385948948,22-06-24 00:24:34,505925.125596706,5330513.00106142,3.74641478084954,45.1900461055294,0,4449.03461438546,0,4449.03461438546,45.3450757054175,0.4,9.62216364182273,505934.725307753,5330512.3441132,0
44067,0.00860214177302038,-0.871867293793611,22-06-24 00:39:21.999992,505925.125596706,5330513.00106142,0.691536023791528,-15.7126524896624,2.44948974278318,4443.96129596107,2.44948974278318,4443.96129596107,15.7278628660443,0.65,20.5648415857904,505944.034197288,5330504.91542394,0
